Contig_Names,Name
s1.ctg035112l,NA
s40726.ctg062584l,NA
s1.ctg038863l,NA
s1.ctg055245l,NA
s1.ctg058777l,NA
s2132.ctg003048l,NA
s1.ctg020815l,NA
s1.ctg007220l,NA
s209.ctg063256l,NA
s39206.ctg059369l,NA
s1.ctg015284l,NA
s1.ctg055307l,NA
s1.ctg065431l,NA
s28159.ctg041227l,NA
s1.ctg043510l,NA
s1.ctg074486l,NA
s1.ctg008977l,NA
s4933.ctg007120l,NA
s1.ctg063412l,NA
s1.ctg018578l,NA
s31191.ctg045918l,NA
s1.ctg002333l,NA
s42601.ctg066860l,NA
s22607.ctg032766l,NA
s1.ctg034537l,NA
s1752.ctg002477l,NA
s7297.ctg010562c,NA
s43856.ctg070023l,NA
s1.ctg032656l,NA
s43407.ctg068859l,NA
s1.ctg052251l,NA
s1.ctg023477l,NA
s13373.ctg019295l,NA
s239.ctg000311l,NA
s1.ctg060728l,NA
s209.ctg024275l,NA
s1.ctg026212l,NA
s14136.ctg020400l,NA
s30428.ctg044765l,NA
s1.ctg016919l,NA
s1.ctg006501l,NA
s34081.ctg050478l,NA
s6551.ctg009479l,NA
s1.ctg067481l,NA
s36938.ctg055249l,NA
s1.ctg005305l,NA
s3467.ctg005005l,NA
s1950.ctg002787l,NA
s1.ctg010040l,NA
s20620.ctg029823l,NA
s41042.ctg063308l,NA
s1.ctg012736l,NA
s1.ctg069727l,NA
s1.ctg008629l,NA
s1.ctg043335l,NA
s1.ctg057960l,NA
s1026.ctg001446l,NA
s16329.ctg023549l,NA
s1.ctg070814l,NA
s1.ctg071044l,NA
s919.ctg001290l,NA
s1.ctg062548l,NA
s35911.ctg053423l,NA
s16768.ctg024194l,NA
s1.ctg039345l,NA
s1.ctg030199l,NA
s1.ctg000551l,NA
s10649.ctg015407l,NA
s1.ctg048624l,NA
s7278.ctg010540l,NA
s1.ctg054121l,NA
s1.ctg029243l,NA
s1493.ctg002105l,NA
s1.ctg000645l,NA
s1.ctg069425l,NA
s32062.ctg047317l,NA
s23942.ctg034787l,NA
s23728.ctg034468l,NA
s8746.ctg012696l,NA
s27783.ctg040658l,NA
s28946.ctg042453l,NA
s1.ctg041153l,NA
s1.ctg004464l,NA
s832.ctg001173l,NA
s1.ctg024701l,NA
s9260.ctg013420l,NA
s1.ctg050807l,NA
s16674.ctg024063l,NA
s1.ctg004131l,NA
s27135.ctg039697l,NA
s1.ctg008984l,NA
s1.ctg045253l,NA
